name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
NGC 5548,Bentz2013,26.5,14.588142602753557,14.343078930872077,0.8238234207511965,2.1486369440531234,0.5013698630136987,0.01718,365.0,1.0,1.0,119,183,25,25,3.311311214825935e+43,2
PG 2233+134,Hu2025,125.0,213.1509761740781,206.99477714416915,21.302531644474612,29.09223307452629,0.5479041916167665,0.3252,2002.0,6.0,6.0,171,183,210,210,1.527e+45,0
NGC 5548,Bentz2013,24.8,12.823305826560166,12.397029846527806,0.7737163749473464,1.8097050081301997,0.5013698630136987,0.01718,365.0,1.0,1.0,86,183,27,27,2.754228703338152e+43,2
NGC 5548,Bentz2013,6.5,6.839116472814263,7.011353103474019,0.15720740127766142,1.2129833577675173,0.5,0.01718,365.0,3.0,3.0,37,61,23,23,1.122018454301956e+43,0
NGC 5548,Bentz2013,14.3,6.839116472814263,6.613994203063398,1.184495377288167,1.2135779864312104,0.5043478260869565,0.01718,365.0,3.2,3.2,45,58,21,21,1.122018454301956e+43,2
NGC 5548,Bentz2013,6.3,5.370317963702516,5.051723139216017,0.8540893029336907,1.1950962949041006,1.0,0.01718,40.0,1.0,1.0,28,40,27,27,7.94328234724279e+42,0
NGC 5548,Bentz2013,4.18,5.821032177708741,5.46778647624137,0.37831931710708133,0.7593107515356792,1.0,0.01718,68.0,1.01,1.01,51,68,47,47,8.912509381337514e+42,0
NGC 5548,Bentz2013,12.4,5.636376558259543,5.45190146792363,0.337612100059844,0.5282223877563315,1.0,0.01718,117.0,0.48,0.48,108,244,79,79,8.511380382023759e+42,2
NGC 7469,Bentz2013,23.2,15.559656316050798,14.927221531009081,1.1411158707531897,1.9953189567581955,1.0,0.01632,120.0,1.0,1.0,73,120,33,33,3.6307805477010323e+43,2
Mrk 142,Bentz2013,2.74,15.066070661867402,14.635710820459257,1.1311668745600674,2.3528431125864753,1.0,0.04494,68.0,1.02,1.02,51,67,46,46,3.4673685045253096e+43,2
NGC 3516,Bentz2013,11.68,4.083193863326901,3.9906198171713463,0.21119762105159978,0.23363725216071307,1.0,0.00884,116.0,0.54,0.54,93,215,85,85,5.3703179637024885e+42,2
Z 291-51,Bentz2013,2.31,1.4092887984218756,1.4495552466516295,0.05059483799336251,0.35846217521400003,1.0,0.02787,68.0,1.0,1.0,50,68,23,23,1.1748975549395304e+42,2
RM017,Shen2024,81.00733950315085,75.60409004054573,74.09209202592206,28.22511088251926,26.96212758269872,0.5303030303030303,0.4565020752060682,2368.987,11.969000000000051,11.969000000000051,90,105,23,23,3.4735934458048495e+44,0
Arp 151,Bentz2013,3.99,2.7289777828080277,2.5949502523694683,0.38928457820061935,0.39296721791944966,1.0,0.02109,68.0,1.02,1.02,43,67,23,23,3.0199517204019945e+42,2
Mrk 1310,Bentz2013,3.66,1.8238957023196292,1.5173318127527742,0.356697496202939,0.3369971152133371,1.0,0.01956,68.0,1.01,1.01,47,68,26,26,1.698243652461732e+42,2
Mrk 202,Bentz2013,3.05,1.7378008287493834,1.5117231064564598,0.3553841923218002,0.33048779608808165,1.0,0.02102,68.0,1.01,1.01,46,68,32,32,1.584893192461124e+42,2
NGC 4253,Bentz2013,6.16,2.8641779699065726,2.721444397505648,0.36166282727232746,0.36654725662184706,1.0,0.01293,68.0,1.01,1.01,50,68,50,50,3.2359365692962677e+42,2
NGC 4593,Bentz2013,3.73,5.1168183554030575,4.617928638585521,0.359029471644293,0.3971768166943974,0.973404255319149,0.009,188.0,1.0,1.0,25,183,50,50,7.413102413009131e+42,0
NGC 4748,Bentz2013,5.55,2.7733201046518494,2.7052067770495145,0.34879177517905946,0.3529290067561184,1.0,0.01463,68.0,1.0,1.0,45,68,58,58,3.090295432513605e+42,2
Mrk 279,Bentz2013,16.7,17.70108958317423,21.80028891661367,125.5070322588955,13.453492192213828,0.53125,0.03045,374.0,-1.0,11.9375,16,17,14,14,4.365158322401665e+43,0
Mrk 290,Bentz2013,8.72,7.533555637337168,7.298446829784303,0.3695614721767102,0.7619983520603846,1.0,0.02958,117.0,0.52,0.52,100,225,74,74,1.2882495516931324e+43,0
NGC 6814,Bentz2013,6.64,1.3645831365889183,1.4875718751655849,0.0354271920328042,0.3587546426997039,1.0,0.00521,68.0,1.01,1.01,45,68,27,27,1.122018454301956e+42,2
PG 0804+761 ,Hu2021,72.9,138.40412950966714,136.66815582624295,40.83674478734537,54.229416382844235,0.5343137254901961,0.1,1019.0,5.0,5.0,149,109,423,423,8.24e+44,0
RM018,Shen2024,46.76148889879819,77.57129855731694,73.07743397904439,27.893995451247434,33.054683353460035,0.5303030303030303,0.8482711283663913,2368.987,11.969000000000051,11.969000000000051,90,105,11,11,3.603427614452012e+44,0
